time,flux_norm,flux_err_norm,sg_trend
2036.2809540377,1.0013138936,0.0005224783,1.0000141390
2036.2837317979,1.0001950429,0.0005224665,1.0000141071
2036.2851206780,0.9998077691,0.0005223188,1.0000140753
2036.2865095581,0.9999568104,0.0005224550,1.0000140435
2036.2878984382,1.0002151650,0.0005222691,1.0000140118
2036.2892873183,1.0002725356,0.0005225613,1.0000139802
2036.2906761984,1.0004369545,0.0005223970,1.0000139486
2036.2920650785,0.9994361783,0.0005222248,1.0000139170
2036.2934539586,1.0004203285,0.0005221692,1.0000138855
2036.2948428387,0.9999549733,0.0005225213,1.0000138541
2036.2962317188,1.0010163104,0.0005226048,1.0000138227
2036.2976205989,1.0017038123,0.0005227239,1.0000137914
2036.2990094790,1.0003041073,0.0005225597,1.0000137601
2036.3003983591,1.0003468149,0.0005224183,1.0000137289
2036.3017872392,0.9998577370,0.0005221891,1.0000136977
2036.3031761193,1.0005367750,0.0005224183,1.0000136666
2036.3045649994,0.9997415121,0.0005222442,1.0000136356
2036.3059538795,1.0003292965,0.0005225131,1.0000136045
2036.3073427596,1.0007332031,0.0005225846,1.0000135736
2036.3087316397,0.9999779937,0.0005223496,1.0000135427
2036.3101205198,0.9996424550,0.0005223750,1.0000135118
2036.3115093999,1.0008782522,0.0005225941,1.0000134811
2036.3128982800,0.9992023421,0.0005222848,1.0000134503
2036.3142871602,1.0009183675,0.0005225524,1.0000134196
2036.3156760403,0.9999308816,0.0005224346,1.0000133890
2036.3170649204,1.0002246399,0.0005225425,1.0000133584
2036.3184538005,0.9991374962,0.0005223328,1.0000133279
2036.3198426806,1.0003096960,0.0005225901,1.0000132974
2036.3212315607,0.9995220019,0.0005223265,1.0000132670
2036.3226204408,1.0001793436,0.0005223014,1.0000132366
2036.3240093209,1.0006072104,0.0005225377,1.0000132063
2036.3253982010,0.9994224351,0.0005220555,1.0000131761
2036.3267870811,1.0006281323,0.0005226106,1.0000131459
2036.3281759610,0.9999675132,0.0005224254,1.0000131157
2036.3295648411,0.9997935000,0.0005223655,1.0000130856
2036.3309537212,1.0001898958,0.0005223550,1.0000130556
2036.3323426013,1.0003445382,0.0005224762,1.0000130256
2036.3337314814,1.0008398763,0.0005225695,1.0000129957
2036.3351203615,0.9996796572,0.0005223141,1.0000129658
2036.3365092416,1.0004621667,0.0005225066,1.0000129359
2036.3378981217,1.0016354393,0.0005225579,1.0000129062
2036.3392870015,0.9994015752,0.0005221719,1.0000128765
2036.3406758816,0.9997388436,0.0005222632,1.0000128468
2036.3420647618,0.9993678390,0.0005222163,1.0000128172
2036.3434536419,0.9999811926,0.0005224277,1.0000127876
2036.3448425220,1.0003178648,0.0005224991,1.0000127581
2036.3462314021,0.9998824879,0.0005223502,1.0000127286
2036.3476202819,0.9996893411,0.0005221869,1.0000126992
2036.3490091620,0.9991826777,0.0005222799,1.0000126699
2036.3503980421,0.9997590170,0.0005221564,1.0000126406
2036.3517869222,0.9995981157,0.0005222826,1.0000126114
2036.3531758023,0.9995285276,0.0005222686,1.0000125822
2036.3545646822,1.0002564395,0.0005224453,1.0000125531
2036.3559535623,0.9999450978,0.0005223440,1.0000125240
2036.3573424424,1.0004095605,0.0005227131,1.0000124949
2036.3587313225,1.0002719044,0.0005224173,1.0000124660
2036.3601202026,1.0004753019,0.0005224839,1.0000124371
2036.3615090825,0.9993690226,0.0005221850,1.0000124082
2036.3628979626,0.9994439139,0.0005222733,1.0000123794
2036.3642868427,1.0001103740,0.0005223686,1.0000123506
2036.3656757228,1.0009522484,0.0005225514,1.0000123219
2036.3670646027,0.9995129617,0.0005219842,1.0000122933
2036.3684534828,1.0010266914,0.0005225489,1.0000122647
2036.3698423629,1.0006873352,0.0005223205,1.0000122361
