time,flux_norm,flux_err_norm,sg_trend
2036.2811592811,0.9997626154,0.0018781172,0.9999939578
2036.2839370341,1.0014391979,0.0018808092,0.9999938258
2036.2853259105,0.9965880176,0.0018774265,0.9999936941
2036.2867147869,0.9979700913,0.0018789318,0.9999935626
2036.2881036633,0.9991055194,0.0018797702,0.9999934313
2036.2894925396,0.9934879941,0.0018777112,0.9999933003
2036.2908814160,0.9988653343,0.0018774778,0.9999931694
2036.2922702924,1.0022514494,0.0018805928,0.9999930388
2036.2936591690,1.0014911386,0.0018801711,0.9999929084
2036.2950480454,1.0021887676,0.0018801713,0.9999927782
2036.2964369218,0.9983029444,0.0018800808,0.9999926483
2036.2978257981,0.9992499008,0.0018806014,0.9999925186
2036.2992146745,0.9974616388,0.0018799126,0.9999923891
2036.3006035509,1.0003997035,0.0018802241,0.9999922598
2036.3019924273,1.0013492228,0.0018795894,0.9999921307
2036.3033813037,0.9986543063,0.0018802823,0.9999920019
2036.3047701800,1.0009669349,0.0018800757,0.9999918733
2036.3061590566,1.0014778795,0.0018802158,0.9999917449
2036.3075479330,1.0006593908,0.0018799707,0.9999916167
2036.3089368094,1.0009780487,0.0018821734,0.9999914887
2036.3103256858,0.9993833809,0.0018805031,0.9999913610
2036.3117145622,1.0006331903,0.0018803705,0.9999912335
2036.3131034385,0.9940813976,0.0018758349,0.9999911062
2036.3144923149,0.9991473088,0.0018804223,0.9999909791
2036.3158811913,1.0026241467,0.0018818669,0.9999908523
2036.3172700677,0.9964031600,0.0018798895,0.9999907257
2036.3186589440,0.9950063783,0.0018787267,0.9999905993
2036.3200478204,1.0009198178,0.0018796860,0.9999904731
2036.3214366968,1.0021531759,0.0018814214,0.9999903471
2036.3228255732,1.0014548478,0.0018799784,0.9999902214
2036.3242144496,1.0045251200,0.0018790355,0.9999900959
2036.3256033259,1.0015285326,0.0018801895,0.9999899706
2036.3269922023,1.0003775613,0.0018802566,0.9999898455
2036.3283810787,0.9989557432,0.0018787415,0.9999897207
2036.3297699551,0.9952042527,0.0018778696,0.9999895961
2036.3311588315,1.0019811980,0.0018821933,0.9999894717
2036.3325477078,1.0009322695,0.0018807361,0.9999893475
2036.3339365842,0.9971997316,0.0018773976,0.9999892235
2036.3353254606,1.0008960389,0.0018791250,0.9999890998
2036.3367143370,1.0022632698,0.0018800572,0.9999889763
2036.3381032133,0.9994915081,0.0018797932,0.9999888530
2036.3394920897,1.0014713620,0.0018805247,0.9999887299
2036.3408809661,0.9969301555,0.0018780930,0.9999886071
2036.3422698425,1.0020563362,0.0018793607,0.9999884844
2036.3436587189,0.9992168009,0.0018796276,0.9999883620
2036.3450475952,0.9962895853,0.0018784502,0.9999882398
2036.3464364716,0.9979938238,0.0018795647,0.9999881179
2036.3478253480,1.0014024778,0.0018808173,0.9999879961
2036.3492142244,1.0033624240,0.0018805488,0.9999878746
2036.3506031007,1.0036218291,0.0018814035,0.9999877533
2036.3519919771,1.0003351906,0.0018794979,0.9999876323
2036.3533808535,0.9977800881,0.0018797004,0.9999875114
2036.3547697296,0.9979499646,0.0018784332,0.9999873908
2036.3561586060,1.0012003079,0.0018809771,0.9999872704
2036.3575474824,0.9986236267,0.0018789705,0.9999871502
2036.3589363588,0.9984398638,0.0018779205,0.9999870302
2036.3603252352,1.0010032550,0.0018806087,0.9999869105
2036.3617141115,1.0010374690,0.0018788030,0.9999867909
2036.3631029879,0.9990740064,0.0018787290,0.9999866716
2036.3644918643,1.0024176929,0.0018815436,0.9999865526
2036.3658807407,0.9978780819,0.0018781641,0.9999864337
2036.3672696170,1.0014413551,0.0018794421,0.9999863151
2036.3686584932,0.9990766268,0.0018783667,0.9999861967
2036.3700473696,0.9995820204,0.0018795705,0.9999860785
2036.3714362459,1.0049800108,0.0018817655,0.9999859605
2036.3728251223,1.0002844087,0.0018790119,0.9999858428
2036.3742139987,0.9993137912,0.0018790914,0.9999857252
2036.3756028751,0.9980940818,0.0018797989,0.9999856079
2036.3769917512,1.0026136672,0.0018797854,0.9999854909
2036.3783806276,0.9995865990,0.0018793210,0.9999853740
2036.3797695040,1.0034865262,0.0018813307,0.9999852574
2036.3811583804,1.0017187430,0.0018794221,0.9999851409
2036.3825472567,0.9983087074,0.0018790690,0.9999850247
2036.3839361331,1.0007245166,0.0018804820,0.9999849088
2036.3853250093,1.0013901881,0.0018800420,0.9999847930
2036.3867138856,0.9975145715,0.0018780531,0.9999846775
2036.3881027620,1.0003745020,0.0018796092,0.9999845622
2036.3894916384,0.9990240144,0.0018795142,0.9999844471
2036.3908805148,1.0023137015,0.0018804300,0.9999843322
2036.3922693909,0.9992892502,0.0018794791,0.9999842176
2036.3936582673,0.9982798842,0.0018787770,0.9999841032
2036.3950471437,0.9986464534,0.0018791596,0.9999839890
2036.3964360201,0.9948229272,0.0018768902,0.9999838750
2036.3978248964,0.9996820303,0.0018786821,0.9999837613
2036.3992137726,0.9987013334,0.0018795220,0.9999836477
2036.4006026490,0.9990774388,0.0018795396,0.9999835344
2036.4019915253,1.0002459414,0.0018796130,0.9999834213
2036.4033804017,0.9994448353,0.0018794014,0.9999833085
2036.4047692779,1.0020330251,0.0018819933,0.9999831958
2036.4061581542,0.9991645560,0.0018797303,0.9999830834
2036.4075470306,0.9987921328,0.0018817081,0.9999829712
2036.4089359068,1.0024864846,0.0018814810,0.9999828592
2036.4103247831,0.9979242592,0.0018790622,0.9999827475
2036.4117136595,0.9978518900,0.0018792333,0.9999826359
2036.4131025359,1.0007820974,0.0018796270,0.9999825246
2036.4144914120,1.0006687194,0.0018788724,0.9999824135
2036.4158802884,0.9999328787,0.0018805883,0.9999823027
2036.4172691648,0.9995600365,0.0018791418,0.9999821920
2036.4186580409,1.0010366996,0.0018797666,0.9999820816
2036.4200469173,1.0015167552,0.0018812728,0.9999819714
2036.4214357937,0.9993412563,0.0018793820,0.9999818614
2036.4228246701,0.9998171390,0.0018800815,0.9999817516
2036.4242135462,1.0034231573,0.0018812555,0.9999816421
2036.4256024226,0.9989099199,0.0018791185,0.9999815328
2036.4269912990,1.0028645129,0.0018791347,0.9999814237
2036.4283801751,0.9993341134,0.0018779982,0.9999813148
2036.4297690515,0.9969150028,0.0018780420,0.9999812062
2036.4311579276,1.0024450959,0.0018799176,0.9999810977
2036.4325468040,0.9988218288,0.0018793498,0.9999809895
2036.4339356804,1.0014856595,0.0018799499,0.9999808815
2036.4353245565,1.0021564518,0.0018805277,0.9999807738
2036.4367134329,1.0000759596,0.0018800664,0.9999806662
2036.4381023093,1.0024511198,0.0018797186,0.9999805589
2036.4394911854,1.0000497091,0.0018783666,0.9999804518
2036.4408800618,0.9956686097,0.0018780473,0.9999803450
2036.4422689382,1.0017154285,0.0018812900,0.9999802383
2036.4436578143,1.0003054997,0.0018790480,0.9999801319
2036.4450466907,1.0009555479,0.0018794975,0.9999800257
2036.4464355669,1.0001965140,0.0018797354,0.9999799197
2036.4478244432,1.0002078257,0.0018806099,0.9999798139
2036.4492133196,1.0028315426,0.0018803600,0.9999797084
2036.4506021958,1.0028818363,0.0018805318,0.9999796030
2036.4519910721,0.9980657281,0.0018781507,0.9999794979
2036.4533799483,0.9976715399,0.0018782617,0.9999793931
2036.4547688247,0.9991501682,0.0018813547,0.9999792884
2036.4561577008,0.9991203504,0.0018775627,0.9999791840
2036.4575465772,1.0048546009,0.0018810048,0.9999790798
2036.4589354536,1.0013057702,0.0018803556,0.9999789758
2036.4603243297,0.9995770645,0.0018789347,0.9999788720
2036.4617132061,1.0023548034,0.0018806885,0.9999787684
2036.4631020822,1.0016535838,0.0018803448,0.9999786651
2036.4644909586,1.0000731764,0.0018782411,0.9999785620
2036.4658798348,1.0015735605,0.0018811704,0.9999784591
2036.4672687111,1.0002606638,0.0018792382,0.9999783565
2036.4686575873,0.9998401271,0.0018782634,0.9999782540
2036.4700464637,1.0012816800,0.0018805376,0.9999781518
2036.4714353398,1.0004766249,0.0018802536,0.9999780498
2036.4728242162,0.9983490324,0.0018789711,0.9999779480
2036.4742130923,1.0024538390,0.0018831164,0.9999778465
2036.4756019687,0.9981885372,0.0018783547,0.9999777452
2036.4769908449,1.0004026426,0.0018791848,0.9999776441
2036.4783797212,1.0025720437,0.0018800423,0.9999775432
