time,flux_norm,flux_err_norm,sg_trend
1628.0657693667,1.0000460690,0.0002725538,0.9999286023
1628.0671582806,0.9998801176,0.0002724962,0.9999286621
1628.0685471945,0.9999663715,0.0002725681,0.9999287219
1628.0699361084,1.0006563442,0.0002726836,0.9999287817
1628.0713250223,1.0003880444,0.0002725091,0.9999288415
1628.0727139362,1.0002074890,0.0002725685,0.9999289012
1628.0741028501,1.0002987500,0.0002725793,0.9999289610
1628.0754917643,1.0000701498,0.0002725285,0.9999290207
1628.0768806782,0.9996059754,0.0002723998,0.9999290804
1628.0782695921,1.0003087043,0.0002725445,0.9999291401
1628.0796585060,1.0003955544,0.0002725033,0.9999291997
1628.0810474199,1.0003469731,0.0002725359,0.9999292594
1628.0824363338,1.0001430511,0.0002724962,0.9999293190
1628.0838252477,1.0004834773,0.0002725457,0.9999293787
1628.0852141619,1.0002098130,0.0002725296,0.9999294383
1628.0866030758,1.0006090134,0.0002725680,0.9999294979
1628.0879919897,0.9994033650,0.0002723429,0.9999295574
1628.0893809036,0.9998488219,0.0002724917,0.9999296170
1628.0907698175,1.0006788154,0.0002725147,0.9999296765
1628.0921587314,1.0002153568,0.0002724671,0.9999297361
1628.0935476453,1.0000593009,0.0002724604,0.9999297956
1628.0949365592,1.0000918474,0.0002723810,0.9999298551
1628.0963254731,0.9998559158,0.0002724232,0.9999299146
1628.0977143873,0.9998398216,0.0002723127,0.9999299740
1628.0991033012,0.9998464384,0.0002722355,0.9999300335
1628.1004922151,1.0000061902,0.0002723369,0.9999300929
1628.1018811290,0.9999852676,0.0002723621,0.9999301523
1628.1032700429,0.9997353281,0.0002724073,0.9999302117
1628.1046589568,1.0001152749,0.0002723749,0.9999302711
1628.1060478707,1.0005504789,0.0002724776,0.9999303305
1628.1074367847,0.9993807758,0.0002722941,0.9999303898
1628.1213259240,1.0007846227,0.0002723770,0.9999304492
1628.1227148379,0.9990877396,0.0002720985,0.9999305085
1628.1282704935,0.9993068618,0.0002721465,0.9999305678
1628.1310483213,1.0002521382,0.0002722511,0.9999306271
1628.1366039770,0.9989354403,0.0002718115,0.9999306864
1628.1449374604,1.0000043452,0.0002720821,0.9999307456
1628.1463263744,1.0000393359,0.0002722000,0.9999308049
1628.1504931161,1.0002093405,0.0002720413,0.9999308641
1628.1546598578,1.0002961908,0.0002722005,0.9999309233
1628.1560487717,0.9997302061,0.0002721935,0.9999309825
1628.1574376856,0.9990602041,0.0002719670,0.9999310417
1628.1602155135,0.9997194178,0.0002719453,0.9999311008
1628.1616044274,1.0002786675,0.0002721923,0.9999311600
1628.1643822552,0.9998894229,0.0002720005,0.9999312191
1628.1671600830,0.9985670631,0.0002716409,0.9999312782
1628.1685489969,0.9998195029,0.0002720886,0.9999313373
1628.1699379108,0.9991456267,0.0002718248,0.9999313964
1628.1741046525,0.9996346573,0.0002718125,0.9999314555
1628.1754935665,0.9993009682,0.0002719093,0.9999315145
1628.1810492221,0.9998821539,0.0002720275,0.9999315736
1628.1838270499,1.0000395811,0.0002719705,0.9999316326
1628.1852159638,0.9998320837,0.0002719432,0.9999316916
1628.1879937914,0.9996500394,0.0002717006,0.9999317506
1628.1893827053,1.0000938269,0.0002719340,0.9999318095
