time,flux_norm,flux_err_norm,sg_trend
2036.2809731461,0.9987843928,0.0021077106,0.9999955543
2036.2837508993,0.9991516027,0.0021078865,0.9999955106
2036.2851397759,1.0000903641,0.0021077008,0.9999954670
2036.2865286523,0.9972133976,0.0021063833,0.9999954234
2036.2879175289,1.0001820044,0.0021077669,0.9999953799
2036.2893064055,1.0044761058,0.0021103365,0.9999953364
2036.2906952821,1.0005552182,0.0021088551,0.9999952929
2036.2920841585,1.0018545298,0.0021080300,0.9999952496
2036.2934730351,0.9971998454,0.0021069558,0.9999952062
2036.2948619117,0.9986668851,0.0021073413,0.9999951630
2036.2962507883,1.0036255225,0.0021108220,0.9999951197
2036.2976396647,0.9998099557,0.0021083389,0.9999950766
2036.2990285413,1.0045728508,0.0021105427,0.9999950334
2036.3004174179,0.9989206765,0.0021077903,0.9999949904
2036.3018062945,0.9987280763,0.0021101650,0.9999949474
2036.3031951709,1.0004224495,0.0021078538,0.9999949044
2036.3045840475,0.9975417255,0.0021082092,0.9999948615
2036.3059729241,1.0026730991,0.0021102510,0.9999948187
2036.3073618005,0.9968426448,0.0021066555,0.9999947759
2036.3087506771,1.0008963611,0.0021075121,0.9999947331
2036.3101395537,1.0012268537,0.0021078151,0.9999946904
2036.3115284304,0.9986386104,0.0021058913,0.9999946478
2036.3129173067,1.0009345171,0.0021083646,0.9999946052
2036.3143061833,0.9978734273,0.0021060331,0.9999945626
2036.3156950600,0.9983477464,0.0021073803,0.9999945202
2036.3170839363,1.0049997039,0.0021091770,0.9999944777
2036.3184728129,0.9972390593,0.0021046873,0.9999944353
2036.3198616896,0.9978469531,0.0021065648,0.9999943930
2036.3212505659,1.0042315233,0.0021097013,0.9999943507
2036.3226394425,1.0007453894,0.0021077631,0.9999943085
2036.3240283192,0.9949647611,0.0021047729,0.9999942664
2036.3254171955,0.9977088379,0.0021051411,0.9999942242
2036.3268060721,1.0009581864,0.0021101385,0.9999941822
2036.3281949488,0.9986574757,0.0021081851,0.9999941402
2036.3295838251,1.0004705824,0.0021085119,0.9999940982
2036.3309727017,1.0003220886,0.0021089958,0.9999940563
2036.3323615781,0.9988440457,0.0021077996,0.9999940145
2036.3337504547,1.0008176091,0.0021081796,0.9999939727
2036.3351393313,1.0042107255,0.0021092247,0.9999939309
2036.3365282077,1.0025103557,0.0021088210,0.9999938892
2036.3379170843,1.0004665416,0.0021111837,0.9999938476
2036.3393059607,0.9986575710,0.0021078289,0.9999938060
2036.3406948373,0.9990042753,0.0021077063,0.9999937645
2036.3420837139,1.0025529611,0.0021081548,0.9999937230
2036.3434725903,1.0006438538,0.0021074741,0.9999936815
2036.3448614669,1.0013050341,0.0021094812,0.9999936402
2036.3462503433,0.9979341729,0.0021067136,0.9999935988
2036.3476392199,0.9956938994,0.0021073363,0.9999935576
2036.3490280965,1.0006121900,0.0021082744,0.9999935163
2036.3504169729,1.0017062220,0.0021093563,0.9999934752
2036.3518058495,1.0034640157,0.0021102595,0.9999934341
2036.3531947259,0.9983286656,0.0021068588,0.9999933930
2036.3545836025,0.9964752878,0.0021061173,0.9999933520
2036.3559724789,0.9983774447,0.0021080823,0.9999933110
2036.3573613555,1.0038528051,0.0021094857,0.9999932701
2036.3587502319,0.9991165694,0.0021072685,0.9999932293
2036.3601391085,1.0009563200,0.0021100193,0.9999931885
2036.3615279849,0.9983420236,0.0021071362,0.9999931477
2036.3629168615,1.0025604928,0.0021094902,0.9999931070
2036.3643057378,1.0020943028,0.0021117467,0.9999930664
2036.3656946145,0.9972345044,0.0021066834,0.9999930258
2036.3670834908,1.0018612091,0.0021064404,0.9999929853
2036.3684723674,1.0000792966,0.0021066791,0.9999929448
2036.3698612438,1.0026019427,0.0021095870,0.9999929044
2036.3712501204,0.9961366212,0.0021051996,0.9999928640
2036.3726389968,0.9976192184,0.0021086261,0.9999928237
2036.3740278734,0.9986824939,0.0021065910,0.9999927834
2036.3754167498,0.9989914671,0.0021081603,0.9999927432
2036.3768056264,0.9981624602,0.0021058053,0.9999927030
2036.3781945028,0.9996247917,0.0021067826,0.9999926629
2036.3795833794,1.0034768700,0.0021108114,0.9999926228
2036.3809722558,1.0003248739,0.0021084804,0.9999925828
