time,flux_norm,flux_err_norm,sg_trend
1628.0655858450,0.9995218783,0.0007691694,1.0000766614
1628.0669747608,1.0006318573,0.0007695165,1.0000769125
1628.0683636767,1.0003997623,0.0007693516,1.0000771632
1628.0697525924,1.0004469536,0.0007693899,1.0000774135
1628.0711415083,1.0000051867,0.0007687346,1.0000776634
1628.0725304241,0.9996667072,0.0007689691,1.0000779128
1628.0739193400,1.0001093458,0.0007686975,1.0000781619
1628.0753082558,1.0002237675,0.0007687701,1.0000784105
1628.0766971717,1.0009443211,0.0007690741,1.0000786587
1628.0780860874,0.9999932156,0.0007685638,1.0000789066
1628.0794750033,1.0002450759,0.0007681839,1.0000791540
1628.0808639191,1.0011967587,0.0007686422,1.0000794010
1628.0822528350,0.9994625124,0.0007683539,1.0000796475
1628.0836417507,1.0007582062,0.0007685536,1.0000798937
1628.0850306666,1.0000551586,0.0007680385,1.0000801395
1628.0864195824,0.9996749642,0.0007681634,1.0000803849
1628.0878084982,1.0002762605,0.0007679798,1.0000806298
1628.0891974141,1.0004558882,0.0007680888,1.0000808743
1628.0905863298,1.0000986411,0.0007676349,1.0000811185
1628.0919752457,0.9995504965,0.0007676465,1.0000813622
1628.0933641615,1.0005599332,0.0007677392,1.0000816055
1628.0947530774,1.0002730153,0.0007667647,1.0000818484
1628.0961419932,0.9996633653,0.0007675846,1.0000820909
1628.0975309089,1.0001814623,0.0007672271,1.0000823330
1628.0989198248,1.0014669058,0.0007668800,1.0000825746
1628.1003087406,1.0003199658,0.0007667560,1.0000828159
1628.1016976564,1.0016276998,0.0007673096,1.0000830567
1628.1030865723,0.9999451984,0.0007667883,1.0000832972
1628.1044754880,1.0013157507,0.0007670614,1.0000835372
1628.1058644039,1.0010403988,0.0007668865,1.0000837768
1628.1072533197,0.9998525174,0.0007668036,1.0000840160
1628.1211424778,1.0009570769,0.0007659352,1.0000842548
1628.1225313937,1.0010163187,0.0007656583,1.0000844932
1628.1280870569,1.0001425888,0.0007653271,1.0000847312
1628.1308648884,0.9998768947,0.0007647401,1.0000849688
1628.1364205516,1.0002943314,0.0007640528,1.0000852059
1628.1447540465,0.9994485557,0.0007635611,1.0000854427
1628.1461429622,0.9995828953,0.0007634287,1.0000856790
1628.1503097097,1.0017530953,0.0007634760,1.0000859150
1628.1544764570,0.9998303580,0.0007628505,1.0000861505
1628.1558653728,1.0002476174,0.0007633509,1.0000863856
1628.1572542887,1.0001513083,0.0007632918,1.0000866203
1628.1600321202,1.0006027188,0.0007627255,1.0000868546
1628.1614210360,0.9989800685,0.0007622054,1.0000870885
1628.1641988675,0.9981319140,0.0007624413,1.0000873219
1628.1669766992,1.0000087653,0.0007620604,1.0000875550
1628.1683656150,1.0000384516,0.0007623711,1.0000877877
1628.1697545307,1.0002068857,0.0007619929,1.0000880199
1628.1739212780,1.0000984213,0.0007618054,1.0000882517
1628.1753101938,1.0004997705,0.0007618627,1.0000884832
1628.1808658570,0.9979148940,0.0007611036,1.0000887142
1628.1836436886,1.0002194301,0.0007616306,1.0000889448
1628.1850326043,1.0010109174,0.0007615893,1.0000891750
1628.1878104359,0.9998355081,0.0007606473,1.0000894047
1628.1891993517,1.0004715609,0.0007612143,1.0000896341
1628.1947550147,1.0019068404,0.0007613659,1.0000898631
1628.1961439305,0.9994260896,0.0007603807,1.0000900916
1628.1975328463,0.9995098965,0.0007600449,1.0000903198
1628.1989217621,1.0002719433,0.0007604509,1.0000905475
1628.2003106778,0.9984094783,0.0007601861,1.0000907748
1628.2016995936,0.9992266551,0.0007602631,1.0000910017
1628.2030885094,0.9990487039,0.0007601893,1.0000912283
1628.2044774252,0.9998255323,0.0007601863,1.0000914543
1628.2058663409,0.9989874614,0.0007601056,1.0000916800
1628.2072552567,1.0008748016,0.0007599993,1.0000919053
1628.2114220040,0.9996506484,0.0007595863,1.0000921302
1628.2128109198,0.9991297659,0.0007599956,1.0000923546
1628.2141998356,0.9987798740,0.0007590182,1.0000925787
1628.2155887513,0.9996282229,0.0007594256,1.0000928023
1628.2169776671,0.9998978049,0.0007593826,1.0000930255
1628.2183665829,1.0003655541,0.0007592478,1.0000932483
1628.2197554986,0.9996994312,0.0007587662,1.0000934707
1628.2211444144,0.9995309612,0.0007588846,1.0000936927
1628.2225333302,0.9982529361,0.0007585742,1.0000939143
1628.2253111617,0.9994186513,0.0007587172,1.0000941355
1628.2280889932,1.0017383225,0.0007583889,1.0000943563
1628.2294779089,0.9998663950,0.0007582706,1.0000945766
1628.2308668247,0.9990888254,0.0007581870,1.0000947966
1628.2336446563,1.0011580019,0.0007584302,1.0000950161
1628.2350335720,1.0000331500,0.0007581978,1.0000952352
1628.2364224878,0.9997712919,0.0007580841,1.0000954539
1628.2378114036,1.0003230791,0.0007584393,1.0000956722
1628.2392003192,0.9983693274,0.0007576588,1.0000958901
1628.2405892350,1.0024718997,0.0007582653,1.0000961076
1628.2419781508,1.0014508721,0.0007581316,1.0000963247
1628.2433670665,1.0002298315,0.0007570724,1.0000965414
1628.2447559823,0.9986390403,0.0007572118,1.0000967576
1628.2461448981,0.9994975252,0.0007573068,1.0000969735
1628.2475338137,1.0002180985,0.0007578163,1.0000971889
1628.2489227295,0.9981065945,0.0007567065,1.0000974039
1628.2503116453,1.0002478258,0.0007571417,1.0000976186
1628.2517005611,1.0001362810,0.0007568967,1.0000978328
1628.2530894768,0.9994537205,0.0007569098,1.0000980466
1628.2544783926,0.9987657372,0.0007564562,1.0000982599
1628.2558673083,1.0004301779,0.0007564685,1.0000984729
1628.2572562240,0.9982835754,0.0007562864,1.0000986855
1628.2586451398,0.9998351959,0.0007562368,1.0000988976
1628.2600340556,1.0002928217,0.0007565154,1.0000991094
1628.2614229712,1.0008527192,0.0007564993,1.0000993207
1628.2628118870,1.0015390853,0.0007569013,1.0000995317
1628.2642008028,1.0001136311,0.0007557208,1.0000997422
1628.2655897185,0.9988849729,0.0007559650,1.0000999523
1628.2669786342,1.0009888350,0.0007557355,1.0001001620
1628.2683675500,0.9997453379,0.0007557944,1.0001003713
1628.2697564657,0.9992626780,0.0007555031,1.0001005802
1628.2711453815,1.0003689780,0.0007556728,1.0001007886
1628.2725342972,1.0002074960,0.0007556701,1.0001009967
1628.2739232129,0.9998229369,0.0007555309,1.0001012043
1628.2753121287,0.9999444896,0.0007553403,1.0001014116
1628.2767010445,0.9998511898,0.0007547790,1.0001016184
1628.2780899601,1.0005902442,0.0007552148,1.0001018248
1628.2794788759,0.9995229258,0.0007551923,1.0001020308
1628.2808677917,1.0000063626,0.0007547392,1.0001022364
1628.2822567074,0.9994777568,0.0007548070,1.0001024416
1628.2850345389,0.9998374676,0.0007546868,1.0001026464
1628.2878123703,1.0003166142,0.0007540458,1.0001028508
1628.2892012861,1.0000240199,0.0007538957,1.0001030547
1628.2933680333,1.0000307298,0.0007538858,1.0001032583
1628.2947569490,1.0002256521,0.0007540335,1.0001034614
1628.2961458647,1.0001228208,0.0007539146,1.0001036641
1628.3017015276,1.0000726749,0.0007534610,1.0001038665
1628.3030904434,1.0011811233,0.0007531148,1.0001040684
1628.3086461062,1.0009596922,0.0007530454,1.0001042699
1628.3100350220,1.0000540717,0.0007520754,1.0001044710
1628.3128128534,0.9997875258,0.0007525955,1.0001046716
1628.3142017692,1.0009080734,0.0007521411,1.0001048719
1628.3155906848,0.9978932084,0.0007518081,1.0001050718
1628.3183685163,0.9995256471,0.0007518499,1.0001052712
1628.3197574320,0.9997295726,0.0007519558,1.0001054703
1628.3211463477,1.0002241595,0.0007515090,1.0001056689
1628.3225352635,1.0001880831,0.0007520240,1.0001058671
1628.3239241791,0.9984817044,0.0007514049,1.0001060649
1628.3253130949,0.9999807625,0.0007509378,1.0001062623
1628.3267020106,1.0005058649,0.0007515979,1.0001064593
1628.3280909263,1.0000307891,0.0007511431,1.0001066559
1628.3294798420,1.0005805659,0.0007510234,1.0001068521
1628.3308687578,0.9999401654,0.0007509430,1.0001070478
1628.3336465892,0.9994022747,0.0007509499,1.0001072432
1628.3350355048,1.0011145758,0.0007507942,1.0001074381
1628.3364244206,1.0006493956,0.0007508165,1.0001076327
1628.3378133363,0.9994872745,0.0007504185,1.0001078268
1628.3392022520,0.9991384910,0.0007500096,1.0001080205
1628.3405911677,0.9998838713,0.0007500907,1.0001082138
1628.3419800833,0.9985153042,0.0007497840,1.0001084067
1628.3433689991,0.9997336562,0.0007499560,1.0001085992
1628.3447579148,0.9989577942,0.0007498174,1.0001087913
1628.3461468305,1.0009236265,0.0007498767,1.0001089829
1628.3475357462,0.9992853803,0.0007492548,1.0001091742
1628.3489246620,0.9992398950,0.0007493092,1.0001093650
