time,flux_norm,flux_err_norm,sg_trend
2036.2811153865,1.0003870230,0.0022400197,1.0000423525
2036.2838931458,0.9980627205,0.0022385201,1.0000424705
2036.2852820252,1.0022077506,0.0022431928,1.0000425883
2036.2866709048,1.0019968797,0.0022405391,1.0000427059
2036.2880597845,1.0003187248,0.0022398157,1.0000428234
2036.2894486641,1.0012566251,0.0022407672,1.0000429406
2036.2908375437,0.9999323881,0.0022404556,1.0000430577
2036.2922264234,1.0019841322,0.0022409902,1.0000431745
2036.2936153028,0.9968746283,0.0022357726,1.0000432912
2036.2950041824,0.9994651753,0.0022384295,1.0000434077
2036.2963930621,1.0005244855,0.0022385522,1.0000435239
2036.2977819417,1.0012666532,0.0022403784,1.0000436400
2036.2991708213,0.9993494973,0.0022396953,1.0000437559
2036.3005597007,1.0013840757,0.0022406189,1.0000438716
2036.3019485804,1.0003877718,0.0022386608,1.0000439872
2036.3033374600,0.9985005374,0.0022380091,1.0000441025
2036.3047263397,0.9992446728,0.0022385050,1.0000442176
2036.3061152193,1.0013727666,0.0022394263,1.0000443326
2036.3075040987,1.0031255464,0.0022414360,1.0000444473
2036.3088929783,1.0000369756,0.0022394418,1.0000445619
2036.3102818580,0.9971651186,0.0022392355,1.0000446762
2036.3116707376,0.9985275059,0.0022393081,1.0000447904
2036.3130596170,0.9982100116,0.0022394113,1.0000449044
2036.3144484967,0.9992836273,0.0022391318,1.0000450182
2036.3158373763,1.0010617978,0.0022385756,1.0000451318
2036.3172262557,0.9987718370,0.0022390296,1.0000452452
2036.3186151353,0.9985631767,0.0022395199,1.0000453584
2036.3200040150,0.9997921154,0.0022391385,1.0000454714
2036.3213928946,1.0024168119,0.0022413333,1.0000455843
2036.3227817740,1.0030420423,0.0022414706,1.0000456969
2036.3241706537,1.0007155476,0.0022393329,1.0000458094
2036.3255595333,0.9998385124,0.0022407698,1.0000459216
2036.3269484127,1.0021172790,0.0022402462,1.0000460337
2036.3283372923,1.0012453104,0.0022394113,1.0000461456
2036.3297261720,0.9978281032,0.0022372842,1.0000462572
2036.3311150514,1.0012266104,0.0022397791,1.0000463687
2036.3325039310,1.0002551076,0.0022381528,1.0000464800
2036.3338928106,0.9988937494,0.0022372360,1.0000465911
2036.3352816901,0.9963708110,0.0022367633,1.0000467021
2036.3366705697,1.0019289909,0.0022417687,1.0000468128
2036.3380594493,0.9988484182,0.0022395739,1.0000469233
2036.3394483287,0.9991259334,0.0022382710,1.0000470337
2036.3408372084,1.0014506525,0.0022415973,1.0000471438
2036.3422260880,0.9966346551,0.0022387704,1.0000472538
2036.3436149674,1.0013940492,0.0022393948,1.0000473635
2036.3450038471,0.9991086270,0.0022380901,1.0000474731
2036.3463927265,1.0002450646,0.0022394011,1.0000475825
2036.3477816061,0.9998462790,0.0022384803,1.0000476917
2036.3491704857,0.9996298751,0.0022386097,1.0000478007
2036.3505593651,0.9977122575,0.0022366954,1.0000479095
2036.3519482448,1.0020887081,0.0022408785,1.0000480181
2036.3533371242,0.9996724030,0.0022394930,1.0000481265
2036.3547260038,0.9970585784,0.0022381158,1.0000482348
2036.3561148832,1.0004773471,0.0022403847,1.0000483428
2036.3575037629,1.0043884257,0.0022417634,1.0000484507
2036.3588926425,0.9960739925,0.0022366677,1.0000485583
2036.3602815219,0.9974539639,0.0022375969,1.0000486658
2036.3616704015,1.0018923387,0.0022393886,1.0000487731
2036.3630592809,1.0008143937,0.0022388762,1.0000488802
2036.3644481606,1.0008345513,0.0022414456,1.0000489871
2036.3658370400,1.0032044473,0.0022426092,1.0000490938
2036.3672259196,0.9989139708,0.0022382252,1.0000492003
2036.3686147990,1.0026469578,0.0022429414,1.0000493066
2036.3700036787,1.0042601502,0.0022425235,1.0000494127
2036.3713925581,0.9985261821,0.0022379865,1.0000495186
2036.3727814377,0.9991580333,0.0022398493,1.0000496244
