time,flux_norm,flux_err_norm,sg_trend
1628.0656009714,1.0003191990,0.0005290568,0.9996948459
1628.0669898850,0.9998508850,0.0005286250,0.9996960148
1628.0683787984,0.9999703933,0.0005289882,0.9996971826
1628.0697677120,1.0000135856,0.0005286553,0.9996983493
1628.0711566256,0.9992692244,0.0005286416,0.9996995149
1628.0725455391,0.9999339244,0.0005287738,0.9997006793
1628.0739344527,1.0004319197,0.0005287717,0.9997018426
1628.0753233661,1.0001299619,0.0005287579,0.9997030049
1628.0767122797,1.0007798160,0.0005288437,0.9997041660
1628.0781011932,0.9996506621,0.0005283689,0.9997053260
1628.0794901068,1.0010711933,0.0005290480,0.9997064849
1628.0808790203,0.9997052847,0.0005284138,0.9997076426
1628.0822679338,0.9988973827,0.0005284478,0.9997087993
1628.0836568474,1.0009279648,0.0005287860,0.9997099548
1628.0850457608,0.9999198553,0.0005286842,0.9997111092
1628.0864346744,1.0000049148,0.0005284408,0.9997122625
1628.0878235879,0.9997339144,0.0005285239,0.9997134147
1628.0892125015,1.0004084556,0.0005285945,0.9997145658
1628.0906014149,1.0008628138,0.0005286346,0.9997157158
1628.0919903285,1.0000694724,0.0005283670,0.9997168646
1628.0933792421,1.0003729303,0.0005284726,0.9997180124
1628.0947681555,0.9998604699,0.0005281857,0.9997191590
1628.0961570691,0.9998899100,0.0005284443,0.9997203045
1628.0975459826,0.9990326042,0.0005278296,0.9997214489
1628.0989348961,0.9984559384,0.0005276050,0.9997225922
1628.1003238096,0.9996637947,0.0005282090,0.9997237343
1628.1017127232,1.0003207508,0.0005283963,0.9997248754
1628.1031016366,1.0013330476,0.0005287686,0.9997260153
1628.1044905502,0.9995079244,0.0005280199,0.9997271541
1628.1058794638,0.9999040407,0.0005280744,0.9997282918
1628.1072683772,0.9995700411,0.0005281626,0.9997294284
1628.1211575125,0.9994326128,0.0005276714,0.9997305639
1628.1225464259,0.9997490780,0.0005275140,0.9997316982
1628.1281020799,0.9991705195,0.0005274309,0.9997328315
1628.1308799069,0.9996228615,0.0005273046,0.9997339636
1628.1364355610,0.9991794066,0.0005271109,0.9997350946
1628.1447690421,0.9992339031,0.0005266880,0.9997362245
1628.1461579555,0.9993012787,0.0005268239,0.9997373533
1628.1503246961,0.9983418158,0.0005262495,0.9997384810
1628.1544914365,1.0013265881,0.0005272928,0.9997396076
1628.1558803501,0.9994340728,0.0005269487,0.9997407330
