time,flux_norm,flux_err_norm,sg_trend
1653.9229290500,1.0020352676,0.0019031276,0.9985641780
1653.9243179365,1.0036015444,0.0019053340,0.9985678581
1653.9257068229,0.9993703709,0.0019029437,0.9985715350
1653.9270957093,0.9993815571,0.0019016121,0.9985752085
1653.9284845958,1.0010744974,0.0019034429,0.9985788788
1653.9298734822,0.9973330804,0.0019020591,0.9985825458
1653.9312623684,1.0014524412,0.0019027767,0.9985862095
1653.9326512548,1.0002675883,0.0019025272,0.9985898699
1653.9340401413,0.9980075768,0.0019014072,0.9985935271
1653.9354290277,0.9996784825,0.0019037804,0.9985971809
1653.9368179141,1.0027796866,0.0019046862,0.9986008315
1653.9382068006,1.0009807302,0.0019026917,0.9986044788
1653.9395956870,1.0021388394,0.0019030289,0.9986081228
1653.9409845737,1.0017435164,0.0019027242,0.9986117635
1653.9423734601,0.9999374906,0.0019034130,0.9986154009
1653.9437623465,0.9984952739,0.0019016044,0.9986190350
1653.9451512330,1.0000198060,0.0019042922,0.9986226659
1653.9465401194,0.9994270663,0.0019020604,0.9986262934
1653.9479290058,0.9976396508,0.0019011187,0.9986299177
1653.9493178923,1.0028006806,0.0019034081,0.9986335387
1653.9507067787,0.9998489182,0.0019036247,0.9986371564
1653.9520956651,1.0011411371,0.0019025926,0.9986407708
1653.9534845518,0.9999324059,0.0019048390,0.9986443819
1653.9548734382,0.9988447883,0.0019019093,0.9986479898
1653.9562623247,0.9987280201,0.0019024380,0.9986515943
1653.9576512111,1.0005889154,0.0019032148,0.9986551956
1653.9590400975,0.9969172085,0.0019016180,0.9986587936
1653.9604289842,0.9997809222,0.0019024480,0.9986623883
1653.9618178706,1.0032711242,0.0019047865,0.9986659797
1653.9632067571,0.9991638830,0.0019028700,0.9986695678
1653.9645956437,1.0012178967,0.0019042269,0.9986731527
1653.9659845302,1.0000045787,0.0019039124,0.9986767342
1653.9673734166,1.0013667908,0.0019036781,0.9986803125
1653.9687623033,1.0005775963,0.0019029110,0.9986838875
1653.9701511897,0.9996341302,0.0019023148,0.9986874592
1653.9715400761,0.9966092377,0.0018998054,0.9986910276
1653.9729289628,1.0000606434,0.0019015455,0.9986945927
1653.9743178493,1.0006799813,0.0019028155,0.9986981546
1653.9757067357,1.0009350781,0.0019039113,0.9987017131
1653.9770956224,0.9981159011,0.0019018901,0.9987052684
1653.9784845088,0.9996957665,0.0019018529,0.9987088204
1653.9798733955,0.9945941615,0.0018998291,0.9987123691
1653.9812622819,0.9997460192,0.0019024546,0.9987159145
1653.9826511686,0.9978774400,0.0019012186,0.9987194566
1653.9840400550,1.0010033296,0.0019033311,0.9987229954
1653.9854289417,0.9973676815,0.0019008609,0.9987265310
1653.9868178281,0.9960199716,0.0019013142,0.9987300633
1653.9882067148,0.9979503302,0.0019020571,0.9987335922
1653.9895956014,0.9979194739,0.0019011558,0.9987371179
1653.9909844879,0.9992342215,0.0019025562,0.9987406403
1653.9923733745,1.0002252014,0.0019026594,0.9987441595
1653.9937622610,0.9980567511,0.0019008090,0.9987476753
1653.9951511476,0.9986900774,0.0019031217,0.9987511879
1653.9965400343,0.9989386523,0.0019024920,0.9987546971
1653.9979289207,0.9995850474,0.0019030612,0.9987582031
1653.9993178074,0.9979089909,0.0019018300,0.9987617058
1654.0007066941,1.0012786930,0.0019028916,0.9987652052
1654.0020955807,1.0005033709,0.0019036442,0.9987687013
1654.0034844672,1.0001262883,0.0019022832,0.9987721941
1654.0048733538,1.0007463664,0.0019026051,0.9987756837
1654.0062622405,0.9968869309,0.0019014722,0.9987791700
1654.0076511272,1.0011576019,0.0019027930,0.9987826529
1654.0090400136,0.9975272988,0.0019014232,0.9987861326
1654.0104289003,0.9985910881,0.0019007204,0.9987896090
1654.0118177869,0.9995221523,0.0019030012,0.9987930821
1654.0132066736,0.9972388004,0.0019009160,0.9987965520
1654.0145955603,0.9962589164,0.0019024068,0.9988000185
1654.0159844469,1.0015330923,0.0019043984,0.9988034818
1654.0173733336,1.0019744466,0.0019031635,0.9988069417
1654.0187622203,1.0006163420,0.0019027464,0.9988103984
1654.0201511069,1.0035720676,0.0019053384,0.9988138518
1654.0215399936,1.0003212544,0.0019040794,0.9988173020
1654.0229288803,1.0014450038,0.0019037032,0.9988207488
1654.0243177669,0.9984805468,0.0019018741,0.9988241923
1654.0257066536,0.9976247753,0.0019020870,0.9988276326
1654.0270955403,1.0011473835,0.0019039441,0.9988310696
1654.0284844269,0.9985265123,0.0019040920,0.9988345032
1654.0298733136,0.9984478937,0.0019035249,0.9988379336
1654.0312622003,1.0022536844,0.0019042821,0.9988413607
1654.0326510869,0.9999592011,0.0019033872,0.9988447846
1654.0340399736,0.9998693100,0.0019032511,0.9988482051
1654.0354288603,0.9963023268,0.0019029737,0.9988516224
1654.0368177472,0.9980844561,0.0019045118,0.9988550363
1654.0382066338,1.0032078933,0.0019068264,0.9988584470
1654.0395955205,0.9998012256,0.0019042325,0.9988618544
1654.0409844072,0.9976323681,0.0019037453,0.9988652585
1654.0423732938,0.9999911534,0.0019046486,0.9988686594
1654.0437621807,0.9961202935,0.0019031377,0.9988720569
1654.0451510674,1.0004219269,0.0019047786,0.9988754511
1654.0465399541,0.9995812793,0.0019052172,0.9988788421
1654.0479288410,0.9961061508,0.0019047321,0.9988822298
1654.0493177276,0.9982739103,0.0019046710,0.9988856142
1654.0507066143,0.9998338502,0.0019058759,0.9988889953
