time,flux_norm,flux_err_norm,sg_trend
1628.0657288902,1.0001056328,0.0008117459,1.0012662132
1628.0671178083,1.0010666759,0.0008115203,1.0012669251
1628.0685067267,1.0003068498,0.0008117720,1.0012676352
1628.0698956448,1.0009733448,0.0008116021,1.0012683435
1628.0712845629,0.9994202386,0.0008111508,1.0012690500
1628.0726734810,1.0000863798,0.0008112689,1.0012697546
1628.0740623993,1.0010343321,0.0008113525,1.0012704575
1628.0754513174,0.9990306003,0.0008108924,1.0012711586
1628.0768402355,0.9997325821,0.0008112827,1.0012718578
1628.0782291536,0.9993078019,0.0008108508,1.0012725553
1628.0796180719,1.0002971915,0.0008109983,1.0012732510
1628.0810069900,0.9998622952,0.0008106799,1.0012739448
1628.0823959081,1.0007295335,0.0008110783,1.0012746368
1628.0837848262,1.0002509471,0.0008108358,1.0012753271
1628.0851737446,1.0001035807,0.0008105957,1.0012760155
1628.0865626627,1.0019445921,0.0008108554,1.0012767021
1628.0879515808,0.9988784218,0.0008100390,1.0012773869
1628.0893404989,1.0002340392,0.0008103673,1.0012780699
1628.0907294172,1.0006314855,0.0008101658,1.0012787511
1628.0921183353,1.0011279884,0.0008104126,1.0012794305
1628.0935072534,1.0017985537,0.0008103561,1.0012801081
1628.0948961715,0.9986159059,0.0008095527,1.0012807838
1628.0962850896,0.9999209883,0.0008100100,1.0012814578
1628.0976740079,1.0000347305,0.0008097010,1.0012821300
1628.0990629260,0.9996853443,0.0008091069,1.0012828003
1628.1004518441,1.0003716328,0.0008096548,1.0012834689
1628.1018407622,1.0004240658,0.0008097893,1.0012841356
1628.1032296806,0.9985913032,0.0008091822,1.0012848005
1628.1046185987,1.0011232658,0.0008095756,1.0012854637
1628.1060075168,1.0007003124,0.0008094366,1.0012861250
1628.1073964349,1.0013011246,0.0008094998,1.0012867845
1628.1212856163,1.0001181217,0.0008081192,1.0012874422
1628.1226745344,1.0001341344,0.0008079436,1.0012880981
1628.1282302071,1.0002565848,0.0008076958,1.0012887522
1628.1310080433,0.9995046912,0.0008077966,1.0012894045
1628.1365637159,0.9988019704,0.0008065961,1.0012900550
1628.1448972247,0.9986906611,0.0008061842,1.0012907036
1628.1462861428,1.0005710341,0.0008067670,1.0012913505
1628.1504528972,0.9996927126,0.0008058395,1.0012919956
1628.1546196515,1.0009371516,0.0008063330,1.0012926388
1628.1560085696,1.0014255897,0.0008067906,1.0012932803
1628.1573974879,0.9993186246,0.0008054234,1.0012939199
1628.1601753241,0.9988441485,0.0008055081,1.0012945577
1628.1615642422,0.9990212633,0.0008052614,1.0012951937
1628.1643420784,0.9988844316,0.0008048616,1.0012958280
1628.1671199146,0.9976377717,0.0008050816,1.0012964604
1628.1685088327,1.0013112955,0.0008057596,1.0012970910
1628.1698977508,1.0013999578,0.0008047512,1.0012977198
1628.1740645053,1.0004527267,0.0008048007,1.0012983468
1628.1754534234,1.0002018492,0.0008049602,1.0012989719
1628.1810090958,1.0003826657,0.0008045526,1.0012995953
1628.1837869320,0.9999177322,0.0008049161,1.0013002169
1628.1851758501,1.0002682048,0.0008046618,1.0013008367
1628.1879536863,1.0016800482,0.0008043501,1.0013014546
1628.1893426044,1.0000498169,0.0008042664,1.0013020708
1628.1948982768,1.0000809908,0.0008038737,1.0013026851
1628.1962871949,0.9997446464,0.0008034657,1.0013032976
1628.1976761130,0.9983780104,0.0008029318,1.0013039084
1628.1990650311,1.0005332328,0.0008033610,1.0013045173
1628.2004539492,1.0001285572,0.0008036360,1.0013051244
1628.2018428673,1.0007426275,0.0008035060,1.0013057297
1628.2032317854,1.0010702556,0.0008040057,1.0013063332
1628.2046207035,1.0022665008,0.0008040760,1.0013069349
1628.2060096216,0.9995201667,0.0008030669,1.0013075348
1628.2073985397,1.0000280474,0.0008024298,1.0013081329
1628.2115652940,0.9975885818,0.0008024723,1.0013087291
1628.2129542121,1.0011910815,0.0008029992,1.0013093236
1628.2143431302,1.0010108374,0.0008033114,1.0013099163
1628.2157320483,0.9991007513,0.0008026666,1.0013105071
1628.2171209664,1.0007646463,0.0008025598,1.0013110962
1628.2185098845,1.0001570075,0.0008026149,1.0013116834
1628.2198988026,0.9991428050,0.0008022553,1.0013122688
1628.2212877207,0.9994087823,0.0008018564,1.0013128525
1628.2226766388,1.0010444649,0.0008021800,1.0013134343
1628.2254544751,0.9995752491,0.0008015047,1.0013140143
1628.2282323113,0.9998720657,0.0008015048,1.0013145925
1628.2296212294,0.9984433338,0.0008011331,1.0013151689
1628.2310101475,0.9998715117,0.0008016309,1.0013157435
1628.2337879837,1.0001409510,0.0008011386,1.0013163163
1628.2351769018,1.0002689574,0.0008011666,1.0013168872
1628.2365658199,1.0015242730,0.0008017389,1.0013174564
1628.2379547380,0.9994558848,0.0008014630,1.0013180238
1628.2393436561,0.9995990165,0.0008009502,1.0013185893
1628.2407325742,0.9997926279,0.0008011541,1.0013191531
1628.2421214923,0.9995470574,0.0008007790,1.0013197150
1628.2435104104,0.9983672276,0.0007999498,1.0013202752
1628.2448993282,0.9992891457,0.0008008109,1.0013208335
1628.2462882463,0.9999990925,0.0008010410,1.0013213900
1628.2476771644,1.0006024888,0.0008006900,1.0013219447
1628.2490660825,1.0012555309,0.0008005348,1.0013224976
1628.2504550006,1.0014454627,0.0008007796,1.0013230488
1628.2518439187,0.9995522292,0.0008001831,1.0013235980
1628.2532328368,0.9994270356,0.0008001526,1.0013241455
1628.2546217549,0.9985755698,0.0007998999,1.0013246912
