time,flux_norm,flux_err_norm,sg_trend
1628.3461675903,0.9979150052,0.0013711420,1.0000703854
1628.3475565056,0.9991017329,0.0013711161,1.0000703622
1628.3489454212,0.9970733142,0.0013705558,1.0000703390
1628.3503343365,1.0012699840,0.0013712151,1.0000703159
1628.3531121673,0.9983644849,0.0013682105,1.0000702929
1628.3545010826,0.9988688470,0.0013688288,1.0000702698
1628.3558899979,1.0006822735,0.0013695764,1.0000702468
1628.3572789135,0.9984425112,0.0013691571,1.0000702239
1628.3586678288,1.0004323551,0.0013685248,1.0000702009
1628.3600567441,0.9971274728,0.0013672390,1.0000701780
1628.3614456596,0.9991995056,0.0013686876,1.0000701552
1628.3628345749,0.9996053480,0.0013678673,1.0000701324
1628.3642234902,0.9993294206,0.0013674785,1.0000701096
1628.3656124055,1.0014066984,0.0013678951,1.0000700869
1628.3670013211,0.9990015442,0.0013665284,1.0000700642
1628.3683902364,0.9983113934,0.0013676944,1.0000700415
1628.3697791517,1.0007661806,0.0013655367,1.0000700189
1628.3711680672,0.9997534719,0.0013654690,1.0000699963
1628.3725569825,1.0001993060,0.0013665999,1.0000699738
1628.3739458978,1.0017107966,0.0013653569,1.0000699513
1628.3753348134,1.0020417209,0.0013663757,1.0000699289
1628.3767237287,1.0002661260,0.0013648402,1.0000699064
1628.3781126440,0.9998586599,0.0013652207,1.0000698840
1628.3795015593,0.9994425516,0.0013633827,1.0000698617
1628.3808904748,0.9997300271,0.0013632865,1.0000698394
1628.3864461363,0.9981506961,0.0013613960,1.0000698171
1628.3906128824,0.9992145273,0.0013616033,1.0000697949
1628.3920017978,0.9993019834,0.0013610390,1.0000697727
1628.3933907131,1.0002338592,0.0013610104,1.0000697506
1628.3947796284,1.0000032274,0.0013593370,1.0000697284
1628.3961685439,0.9991284931,0.0013595734,1.0000697064
1628.3975574592,1.0000167412,0.0013606077,1.0000696843
1628.3989463745,0.9994961529,0.0013602886,1.0000696623
1628.4003352898,1.0018490236,0.0013605040,1.0000696404
1628.4017242051,1.0002716588,0.0013598182,1.0000696185
1628.4031131207,0.9992302216,0.0013597557,1.0000695966
1628.4045020360,0.9995355172,0.0013586783,1.0000695747
1628.4058909513,1.0012994754,0.0013599509,1.0000695529
1628.4072798666,1.0012600416,0.0013587742,1.0000695312
1628.4086687821,1.0013748540,0.0013585507,1.0000695094
1628.4100576974,1.0008310807,0.0013587085,1.0000694877
1628.4114466127,1.0017143818,0.0013580671,1.0000694661
1628.4128355281,0.9987166172,0.0013559273,1.0000694445
1628.4142244434,0.9995048555,0.0013569443,1.0000694229
1628.4156133589,0.9985856584,0.0013550119,1.0000694014
1628.4197801048,0.9998629784,0.0013564123,1.0000693799
1628.4211690201,0.9986043562,0.0013554213,1.0000693584
1628.4225579357,1.0002818340,0.0013558189,1.0000693370
1628.4239468510,0.9998811016,0.0013560645,1.0000693156
1628.4253357663,0.9997122150,0.0013552283,1.0000692943
1628.4267246816,1.0010785186,0.0013559025,1.0000692730
1628.4281135969,1.0027187461,0.0013553737,1.0000692517
1628.4295025122,0.9997584096,0.0013544990,1.0000692305
1628.4308914277,1.0009746390,0.0013552655,1.0000692093
1628.4322803430,0.9997144071,0.0013544188,1.0000691882
1628.4336692584,1.0013003385,0.0013554210,1.0000691671
1628.4350581737,0.9988347456,0.0013547812,1.0000691460
1628.4364470890,1.0020809092,0.0013551951,1.0000691249
1628.4378360043,1.0006064132,0.0013534961,1.0000691040
1628.4392249198,0.9994470251,0.0013533473,1.0000690830
1628.4406138351,0.9979288417,0.0013516213,1.0000690621
1628.4420027504,1.0004091982,0.0013541685,1.0000690412
1628.4433916657,1.0025487589,0.0013545351,1.0000690204
1628.4447805810,1.0003317592,0.0013537017,1.0000689996
1628.4461694963,0.9995654363,0.0013518329,1.0000689788
1628.4475584117,1.0006902383,0.0013517699,1.0000689581
1628.4503362425,0.9985298588,0.0013521498,1.0000689374
1628.4517251578,0.9989351630,0.0013506953,1.0000689167
1628.4531140731,0.9983041331,0.0013503107,1.0000688961
1628.4545029884,0.9999270167,0.0013524098,1.0000688756
1628.4558919037,0.9982998829,0.0013509539,1.0000688550
1628.4572808190,1.0007563993,0.0013515851,1.0000688345
1628.4586697343,1.0000198762,0.0013524008,1.0000688141
1628.4600586499,1.0020501296,0.0013516693,1.0000687937
1628.4642253958,0.9989212406,0.0013504126,1.0000687733
1628.4656143111,1.0006918739,0.0013508398,1.0000687530
1628.4683921417,0.9976319425,0.0013492373,1.0000687327
1628.4697810570,0.9988556216,0.0013491059,1.0000687124
1628.4711699723,0.9994607066,0.0013512130,1.0000686922
1628.4725588876,0.9984183131,0.0013497838,1.0000686720
1628.4767256338,1.0025147984,0.0013498602,1.0000686519
1628.4795034644,0.9992804753,0.0013488913,1.0000686318
1628.4808923797,0.9986509347,0.0013486142,1.0000686117
1628.4836702103,0.9993587709,0.0013481277,1.0000685917
1628.4850591256,1.0012766176,0.0013486223,1.0000685717
1628.4864480409,1.0005203065,0.0013486558,1.0000685517
1628.4892258715,0.9998471977,0.0013480126,1.0000685318
1628.4906147869,0.9991029258,0.0013469822,1.0000685119
1628.4920037022,1.0008779695,0.0013478948,1.0000684921
1628.4933926175,1.0018513858,0.0013485604,1.0000684723
1628.4947815328,0.9994742370,0.0013473140,1.0000684525
1628.4961704481,0.9998346017,0.0013479492,1.0000684328
1628.4975593634,1.0006290374,0.0013485219,1.0000684131
1628.4989482787,0.9995860471,0.0013470596,1.0000683935
1628.5003371940,1.0008822599,0.0013481679,1.0000683739
1628.5017261093,0.9989505653,0.0013459224,1.0000683543
1628.5031150246,1.0013313297,0.0013469017,1.0000683348
1628.5058928552,1.0004319766,0.0013461987,1.0000683153
1628.5072817705,0.9990962875,0.0013456476,1.0000682959
1628.5086706858,1.0014468940,0.0013461006,1.0000682765
1628.5100596011,0.9992133222,0.0013450962,1.0000682571
1628.5142263471,1.0003977242,0.0013442694,1.0000682377
1628.5170041777,0.9994483659,0.0013450228,1.0000682185
1628.5197820083,0.9997178394,0.0013456693,1.0000681992
1628.5211709236,0.9992999393,0.0013433921,1.0000681800
1628.5225598389,1.0003724114,0.0013451017,1.0000681608
1628.5267265848,0.9987502814,0.0013435070,1.0000681417
1628.5281155001,1.0000072172,0.0013435995,1.0000681226
1628.5295044154,0.9992960225,0.0013440678,1.0000681035
1628.5308933307,0.9999468203,0.0013441192,1.0000680845
1628.5336711614,1.0002755961,0.0013426794,1.0000680655
1628.5350600767,1.0012926395,0.0013449865,1.0000680465
1628.5364489920,0.9999371027,0.0013435043,1.0000680276
1628.5392268226,0.9994219936,0.0013424267,1.0000680088
