time,flux_norm,flux_err_norm,sg_trend
2036.2810334241,1.0055585363,0.0094954584,0.9997126554
2036.2838111854,1.0178183049,0.0095087643,0.9997058789
2036.2852000662,0.9939645950,0.0094968037,0.9996991085
2036.2865889468,1.0058452403,0.0094981741,0.9996923443
2036.2879778276,1.0128374473,0.0095001434,0.9996855862
2036.2893667084,0.9808175648,0.0094835327,0.9996788344
2036.2907555890,1.0111206070,0.0094959313,0.9996720888
2036.2921444698,1.0050178708,0.0095111780,0.9996653493
2036.2935333506,0.9973376824,0.0094936286,0.9996586160
2036.2949222312,1.0077871429,0.0094921227,0.9996518890
2036.2963111120,1.0061043786,0.0095004633,0.9996451681
2036.2976999928,1.0090550917,0.0094975803,0.9996384533
2036.2990888733,1.0053968910,0.0095025091,0.9996317448
2036.3004777541,0.9967003820,0.0094906923,0.9996250425
2036.3018666347,0.9955362265,0.0094975086,0.9996183463
2036.3032555155,1.0108802600,0.0094896799,0.9996116564
2036.3046443963,1.0033131202,0.0094969378,0.9996049726
2036.3060332769,0.9845355691,0.0094926419,0.9995982950
2036.3074221577,0.9924249556,0.0094865989,0.9995916236
2036.3088110382,1.0053275541,0.0094926689,0.9995849583
2036.3101999190,1.0098393568,0.0094952337,0.9995782993
2036.3115887996,0.9948103557,0.0094906141,0.9995716465
2036.3129776804,1.0190433255,0.0095078311,0.9995649998
2036.3143665612,0.9820911795,0.0094936398,0.9995583593
2036.3157554418,0.9960087255,0.0094996873,0.9995517250
2036.3171443226,1.0041728757,0.0094944199,0.9995450969
2036.3185332032,1.0088415250,0.0095027045,0.9995384750
2036.3199220840,0.9972117388,0.0094943593,0.9995318593
2036.3213109645,0.9978849036,0.0094844252,0.9995252497
2036.3226998453,1.0000580140,0.0094899601,0.9995186464
2036.3240887259,1.0037347371,0.0094904570,0.9995120492
2036.3254776067,0.9849347841,0.0094907385,0.9995054582
2036.3268664873,1.0015664400,0.0094983093,0.9994988734
2036.3282553681,1.0015411875,0.0095090054,0.9994922948
2036.3296442486,1.0113166569,0.0095007293,0.9994857224
2036.3310331294,0.9879106738,0.0094886644,0.9994791561
2036.3324220100,1.0087413999,0.0095046708,0.9994725961
2036.3338108908,1.0023313112,0.0094961614,0.9994660422
2036.3351997714,1.0028468138,0.0095051625,0.9994594945
