time,flux_norm,flux_err_norm,sg_trend
1628.0656825313,1.0015025689,0.0014653075,1.0004567841
1628.0670714455,1.0014355486,0.0014653050,1.0004552919
1628.0684603596,1.0031755156,0.0014662127,1.0004538011
1628.0698492737,1.0020235846,0.0014653086,1.0004523118
1628.0712381879,1.0019270098,0.0014649151,1.0004508239
1628.0726271020,1.0009859764,0.0014649072,1.0004493374
1628.0740160162,1.0030225265,0.0014658599,1.0004478524
1628.0754049303,0.9997212446,0.0014635331,1.0004463689
1628.0767938445,0.9979328194,0.0014627643,1.0004448867
1628.0781827586,1.0045111973,0.0014651646,1.0004434060
1628.0795716727,1.0011398346,0.0014637995,1.0004419268
1628.0809605869,1.0007641821,0.0014625620,1.0004404490
1628.0823495010,1.0042569590,0.0014656041,1.0004389726
1628.0837384152,1.0002218711,0.0014634842,1.0004374977
1628.0851273291,1.0016447723,0.0014636403,1.0004360242
1628.0865162432,1.0042252916,0.0014651929,1.0004345521
1628.0879051574,0.9998124517,0.0014629439,1.0004330815
1628.0892940715,1.0011686258,0.0014628861,1.0004316123
1628.0906829856,1.0015164871,0.0014628280,1.0004301446
1628.0920718998,1.0022578084,0.0014634051,1.0004286783
1628.0934608139,1.0013070812,0.0014630692,1.0004272134
1628.0948497281,0.9986959942,0.0014606713,1.0004257500
1628.0962386422,0.9993698069,0.0014613716,1.0004242880
1628.0976275564,1.0017791698,0.0014621408,1.0004228275
1628.0990164703,1.0004241237,0.0014613330,1.0004213683
1628.1004053844,1.0004477450,0.0014613575,1.0004199107
1628.1017942986,1.0027760277,0.0014625577,1.0004184544
1628.1031832127,0.9981005307,0.0014605278,1.0004169997
1628.1045721268,1.0001544484,0.0014616176,1.0004155463
1628.1059610410,1.0024962016,0.0014611501,1.0004140944
1628.1073499551,1.0001778456,0.0014608791,1.0004126439
1628.1212390961,0.9984754211,0.0014587750,1.0004111949
1628.1226280102,1.0025062774,0.0014599659,1.0004097473
1628.1281836666,1.0013299427,0.0014589462,1.0004083011
1628.1309614948,1.0007212854,0.0014580093,1.0004068564
1628.1365171512,1.0012682482,0.0014578680,1.0004054131
1628.1448506358,0.9999064875,0.0014564119,1.0004039713
1628.1462395499,1.0010029007,0.0014573858,1.0004025309
1628.1504062921,1.0048829285,0.0014572651,1.0004010919
