time,flux_norm,flux_err_norm,sg_trend
1628.2601328840,0.9973227015,0.0017513862,1.0000902216
1628.2615217993,0.9976610807,0.0017499702,1.0000957436
1628.2629107146,0.9954565128,0.0017502493,1.0001012554
1628.2642996297,0.9965330434,0.0017492887,1.0001067573
1628.2656885450,0.9999353228,0.0017499700,1.0001122490
1628.2670774603,0.9968429830,0.0017486736,1.0001177307
1628.2684663754,0.9994200592,0.0017517655,1.0001232022
1628.2698552907,1.0000456143,0.0017496960,1.0001286638
1628.2712442060,0.9980394442,0.0017490353,1.0001341152
1628.2726331211,0.9966119862,0.0017463454,1.0001395566
1628.2740220364,0.9994647389,0.0017472631,1.0001449879
1628.2754109515,0.9958609341,0.0017457811,1.0001504091
1628.2767998668,1.0025717643,0.0017477083,1.0001558203
1628.2781887821,0.9967119126,0.0017450805,1.0001612214
1628.2795776972,1.0015156550,0.0017477534,1.0001666124
1628.2809666125,0.9974176217,0.0017433209,1.0001719934
1628.2823555278,0.9980530211,0.0017450290,1.0001773643
1628.2851333582,0.9986973629,0.0017443808,1.0001827251
1628.2879111885,0.9966095871,0.0017435347,1.0001880758
1628.2893001038,0.9957233600,0.0017417643,1.0001934165
1628.2934668495,0.9975203780,0.0017411049,1.0001987471
1628.2948557646,0.9975591702,0.0017413993,1.0002040676
1628.2962446799,0.9993117235,0.0017401547,1.0002093780
1628.3018003407,1.0016100702,0.0017410021,1.0002146784
1628.3031892560,0.9985612539,0.0017389419,1.0002199687
1628.3087449167,0.9987090723,0.0017361567,1.0002252490
1628.3101338320,1.0007264448,0.0017363876,1.0002305191
1628.3129116624,0.9980658848,0.0017355542,1.0002357792
1628.3143005777,0.9951423313,0.0017329339,1.0002410293
1628.3156894928,0.9998436531,0.0017334237,1.0002462692
1628.3184673232,1.0024448770,0.0017345444,1.0002514991
1628.3198562385,1.0011554953,0.0017356685,1.0002567189
1628.3212451536,0.9990005468,0.0017335852,1.0002619286
1628.3226340689,0.9974170867,0.0017325751,1.0002671283
1628.3240229839,1.0008656566,0.0017327569,1.0002723179
1628.3254118993,1.0006781345,0.0017319326,1.0002774974
1628.3268008146,0.9995856644,0.0017298457,1.0002826669
1628.3281897296,0.9988275610,0.0017314132,1.0002878263
1628.3295786449,0.9991279823,0.0017305441,1.0002929756
1628.3309675600,1.0021564768,0.0017295562,1.0002981148
1628.3337453904,0.9981131559,0.0017296866,1.0003032440
1628.3351343057,0.9990826411,0.0017292161,1.0003083631
1628.3365232208,1.0007091213,0.0017276250,1.0003134721
1628.3379121361,0.9992823660,0.0017289474,1.0003185711
1628.3393010512,1.0010669287,0.0017288318,1.0003236600
1628.3406899665,0.9979415555,0.0017257569,1.0003287388
1628.3420788815,1.0007861398,0.0017279080,1.0003338075
1628.3434677968,0.9990901316,0.0017263367,1.0003388662
1628.3448567119,0.9991537899,0.0017268668,1.0003439148
1628.3462456272,0.9984843378,0.0017252019,1.0003489533
1628.3476345423,0.9991119173,0.0017250749,1.0003539818
1628.3490234576,1.0028667277,0.0017262571,1.0003590002
1628.3504123727,1.0002833141,0.0017233508,1.0003640085
1628.3531902031,0.9984397741,0.0017208253,1.0003690067
1628.3545791184,1.0013010051,0.0017224573,1.0003739949
1628.3559680334,0.9997116162,0.0017220946,1.0003789730
1628.3573569487,1.0003693199,0.0017216448,1.0003839410
1628.3587458638,0.9996565341,0.0017215179,1.0003888990
1628.3601347791,1.0002725449,0.0017223518,1.0003938469
1628.3615236942,1.0019017923,0.0017213573,1.0003987847
1628.3629126095,0.9997330092,0.0017204010,1.0004037124
1628.3643015246,1.0002904137,0.0017208588,1.0004086301
1628.3656904399,0.9983056631,0.0017201006,1.0004135377
1628.3670793550,0.9994311223,0.0017194101,1.0004184352
1628.3684682703,1.0014229845,0.0017192852,1.0004233227
1628.3698571853,0.9971759488,0.0017158094,1.0004282001
1628.3712461004,0.9990017169,0.0017176899,1.0004330674
1628.3726350157,1.0016224935,0.0017173827,1.0004379246
1628.3740239308,1.0003289627,0.0017177718,1.0004427718
1628.3754128461,0.9986473040,0.0017164587,1.0004476089
1628.3768017612,1.0014280406,0.0017163147,1.0004524359
1628.3781906765,0.9989442628,0.0017147509,1.0004572529
1628.3795795916,0.9998043442,0.0017162481,1.0004620598
1628.3809685069,1.0016208143,0.0017149114,1.0004668566
1628.3865241674,0.9980992185,0.0017131695,1.0004716433
1628.3906909128,1.0009457731,0.0017129981,1.0004764200
1628.3920798282,1.0007433312,0.0017114623,1.0004811866
1628.3934687432,0.9998080011,0.0017112343,1.0004859431
1628.3948576585,0.9988322978,0.0017096274,1.0004906896
1628.3962465736,1.0008632514,0.0017096062,1.0004954260
1628.3976354887,0.9985292660,0.0017107330,1.0005001523
1628.3990244040,1.0020993905,0.0017097857,1.0005048686
1628.4004133191,0.9997462585,0.0017095101,1.0005095747
1628.4018022344,1.0014219105,0.0017086191,1.0005142708
1628.4031911494,1.0001261383,0.0017083476,1.0005189569
1628.4045800645,0.9976644169,0.0017078822,1.0005236328
