time,flux_norm,flux_err_norm,sg_trend
1628.3239800949,1.0018426200,0.0014002276,0.9971096110
1628.3253690109,1.0011776282,0.0013986162,0.9971064238
1628.3267579269,1.0007910104,0.0013992352,0.9971032435
1628.3281468429,1.0004591398,0.0013985265,0.9971000701
1628.3295357589,1.0006843929,0.0013986593,0.9970969037
1628.3309246749,1.0005546167,0.0013976758,0.9970937442
1628.3337025070,1.0008936760,0.0013982656,0.9970905916
1628.3350914230,1.0016166296,0.0013974514,0.9970874460
1628.3364803390,0.9989954870,0.0013961179,0.9970843073
1628.3378692550,1.0006001077,0.0013955012,0.9970811755
1628.3392581710,0.9995945872,0.0013955650,0.9970780506
1628.3406470870,1.0022468417,0.0013958397,0.9970749327
1628.3420360030,1.0010370389,0.0013966004,0.9970718217
1628.3434249190,0.9992810727,0.0013954038,0.9970687177
1628.3448138350,0.9998363053,0.0013947115,0.9970656205
1628.3462027510,1.0041269033,0.0013956885,0.9970625303
1628.3475916668,1.0014586600,0.0013943947,0.9970594471
1628.3489805828,1.0006656514,0.0013944081,0.9970563707
1628.3503694988,0.9995593199,0.0013932397,0.9970533013
1628.3531473308,1.0035632324,0.0013917832,0.9970502388
1628.3545362468,1.0008474007,0.0013917831,0.9970471833
1628.3559251628,0.9995451949,0.0013914878,0.9970441347
1628.3573140788,0.9997885660,0.0013922775,0.9970410930
1628.3587029948,1.0010225744,0.0013911239,0.9970380582
1628.3600919108,1.0031299371,0.0013912852,0.9970350304
1628.3614808268,0.9995947742,0.0013914135,0.9970320095
1628.3628697428,1.0009875541,0.0013911005,0.9970289956
1628.3642586588,0.9992275889,0.0013905011,0.9970259885
1628.3656475746,0.9993598457,0.0013903945,0.9970229884
1628.3670364906,1.0003958926,0.0013905450,0.9970199953
1628.3684254066,0.9980310646,0.0013900809,0.9970170090
1628.3698143226,1.0017683420,0.0013892614,0.9970140297
1628.3712032386,0.9999377737,0.0013887601,0.9970110574
1628.3725921546,0.9997154238,0.0013880721,0.9970080919
1628.3739810706,0.9991139175,0.0013879558,0.9970051334
1628.3753699866,1.0013618193,0.0013877719,0.9970021818
1628.3767589026,1.0004539669,0.0013873101,0.9969992372
1628.3781478184,0.9995600918,0.0013872901,0.9969962994
1628.3795367344,1.0015857155,0.0013870043,0.9969933687
1628.3809256504,0.9993221600,0.0013868371,0.9969904448
1628.3864813144,1.0010364819,0.0013865025,0.9969875279
1628.3906480622,0.9989185935,0.0013845473,0.9969846179
1628.3920369782,1.0005547711,0.0013839360,0.9969817148
1628.3934258942,1.0016547373,0.0013844783,0.9969788187
1628.3948148102,0.9993949405,0.0013824437,0.9969759295
1628.3962037260,0.9989768195,0.0013842405,0.9969730472
1628.3975926420,1.0001874931,0.0013848712,0.9969701718
1628.3989815580,1.0018306583,0.0013841657,0.9969673034
1628.4003704740,1.0024918986,0.0013852222,0.9969644420
1628.4017593900,0.9994753217,0.0013828124,0.9969615874
1628.4031483060,0.9998785665,0.0013823708,0.9969587398
1628.4045372218,1.0005849847,0.0013834865,0.9969558991
1628.4059261378,0.9985633278,0.0013814711,0.9969530653
1628.4073150538,0.9988369942,0.0013819215,0.9969502385
1628.4087039698,1.0000509875,0.0013814783,0.9969474186
1628.4100928858,0.9987910413,0.0013808233,0.9969446056
1628.4114818016,0.9988178871,0.0013812931,0.9969417996
1628.4128707176,0.9989281897,0.0013805211,0.9969390005
1628.4142596336,0.9993850162,0.0013810340,0.9969362083
1628.4156485496,1.0001400009,0.0013799224,0.9969334231
1628.4198152974,0.9995458035,0.0013815131,0.9969306448
1628.4212042134,1.0018283108,0.0013806359,0.9969278734
1628.4225931294,1.0024396161,0.0013818366,0.9969251089
1628.4239820454,0.9987717841,0.0013811280,0.9969223514
1628.4253709612,1.0014222876,0.0013798074,0.9969196008
1628.4267598772,0.9986657821,0.0013788694,0.9969168572
1628.4281487932,0.9999770689,0.0013794555,0.9969141204
1628.4295377092,1.0005794939,0.0013803506,0.9969113906
1628.4309266250,0.9992848550,0.0013792397,0.9969086678
1628.4323155410,1.0005145804,0.0013779683,0.9969059518
1628.4337044570,0.9994468226,0.0013785930,0.9969032428
1628.4350933730,0.9995506364,0.0013789711,0.9969005408
1628.4364822888,0.9989403106,0.0013775600,0.9968978456
1628.4378712048,0.9988569661,0.0013770802,0.9968951574
1628.4392601208,0.9978243811,0.0013772530,0.9968924761
1628.4406490368,0.9988302845,0.0013771745,0.9968898018
1628.4420379526,1.0015018375,0.0013775584,0.9968871344
1628.4434268686,1.0000886613,0.0013783359,0.9968844739
