time,flux_norm,flux_err_norm,sg_trend
2036.2811214655,1.0004378569,0.0016883273,0.9993033467
2036.2838992194,0.9983551628,0.0016878927,0.9993031956
2036.2852880963,0.9964564759,0.0016875386,0.9993030452
2036.2866769733,1.0024329976,0.0016893556,0.9993028954
2036.2880658502,1.0004513416,0.0016903142,0.9993027463
2036.2894547273,0.9988923376,0.0016869807,0.9993025979
2036.2908436041,1.0027008982,0.0016909300,0.9993024500
2036.2922324812,0.9983541460,0.0016876215,0.9993023029
2036.2936213580,1.0013197854,0.0016914015,0.9993021564
2036.2950102351,1.0011940779,0.0016886283,0.9993020105
2036.2963991122,1.0006365903,0.0016882791,0.9993018653
2036.2977879890,1.0011714640,0.0016876386,0.9993017208
2036.2991768661,0.9986207745,0.0016886326,0.9993015769
2036.3005657429,1.0020115717,0.0016880971,0.9993014336
2036.3019546200,0.9999755684,0.0016881811,0.9993012911
2036.3033434969,0.9993070751,0.0016873566,0.9993011491
2036.3047323739,0.9987999839,0.0016884945,0.9993010078
2036.3061212508,0.9996803852,0.0016890667,0.9993008672
2036.3075101276,1.0002302260,0.0016879260,0.9993007272
2036.3088990047,1.0000198735,0.0016883830,0.9993005879
2036.3102878815,0.9996780596,0.0016878470,0.9993004493
2036.3116767586,0.9971388725,0.0016878036,0.9993003112
2036.3130656355,0.9998269739,0.0016881253,0.9993001739
2036.3144545125,0.9987067128,0.0016872271,0.9993000372
2036.3158433894,0.9981165284,0.0016867673,0.9992999011
2036.3172322665,1.0014068788,0.0016883618,0.9992997657
2036.3186211433,0.9982536867,0.0016877918,0.9992996310
2036.3200100204,1.0008438473,0.0016900374,0.9992994969
2036.3213988972,1.0007640548,0.0016879698,0.9992993635
2036.3227877741,1.0016834587,0.0016881448,0.9992992307
2036.3241766511,0.9967983681,0.0016867267,0.9992990985
2036.3255655280,1.0005105368,0.0016888458,0.9992989671
2036.3269544051,0.9984608574,0.0016873809,0.9992988362
2036.3283432819,0.9985448504,0.0016879999,0.9992987061
2036.3297321587,1.0008336749,0.0016878688,0.9992985765
2036.3311210358,0.9991960307,0.0016879207,0.9992984477
2036.3325099127,1.0031494092,0.0016906880,0.9992983195
2036.3338987897,0.9966596400,0.0016853895,0.9992981919
2036.3352876666,1.0001851139,0.0016881658,0.9992980650
2036.3366765434,0.9971759542,0.0016858262,0.9992979387
2036.3380654205,0.9983551720,0.0016876381,0.9992978131
2036.3394542973,1.0005996169,0.0016885341,0.9992976882
2036.3408431742,0.9996617995,0.0016879768,0.9992975639
2036.3422320513,1.0006110787,0.0016892736,0.9992974403
2036.3436209281,0.9994828680,0.0016864573,0.9992973173
2036.3450098050,0.9992204262,0.0016873745,0.9992971950
2036.3463986820,1.0011474899,0.0016899199,0.9992970733
2036.3477875589,1.0030801602,0.0016900769,0.9992969523
2036.3491764357,0.9995025597,0.0016881803,0.9992968319
2036.3505653128,1.0005844300,0.0016886285,0.9992967122
2036.3519541896,0.9982390064,0.0016874463,0.9992965931
2036.3533430665,0.9991111580,0.0016879769,0.9992964747
2036.3547319436,0.9986565897,0.0016875722,0.9992963569
2036.3561208204,0.9974989062,0.0016878109,0.9992962398
2036.3575096972,1.0019125148,0.0016891373,0.9992961234
2036.3588985743,0.9997151893,0.0016872542,0.9992960076
2036.3602874512,0.9980174033,0.0016880013,0.9992958924
2036.3616763280,0.9991901111,0.0016883265,0.9992957779
2036.3630652049,1.0029258947,0.0016891288,0.9992956641
2036.3644540819,0.9983769962,0.0016874829,0.9992955509
2036.3658429588,1.0016292835,0.0016890748,0.9992954384
2036.3672318356,0.9989179772,0.0016872868,0.9992953265
2036.3686207127,1.0011718978,0.0016878589,0.9992952153
2036.3700095895,1.0000491000,0.0016887469,0.9992951047
2036.3713984664,1.0006833737,0.0016901985,0.9992949948
2036.3727873432,0.9986236440,0.0016867405,0.9992948855
2036.3741762203,1.0032697537,0.0016891419,0.9992947769
2036.3755650971,1.0021073477,0.0016880594,0.9992946690
2036.3769539740,1.0017388386,0.0016883106,0.9992945617
2036.3783428508,0.9987600687,0.0016879607,0.9992944550
2036.3797317277,1.0011798040,0.0016884244,0.9992943490
2036.3811206048,0.9968426374,0.0016882710,0.9992942437
2036.3825094816,0.9999843954,0.0016875746,0.9992941390
2036.3838983584,1.0014020045,0.0016899842,0.9992940349
2036.3852872353,0.9969332539,0.0016876068,0.9992939316
2036.3866761121,1.0008062206,0.0016875359,0.9992938288
2036.3880649892,1.0018354682,0.0016885760,0.9992937268
2036.3894538660,1.0002103146,0.0016884109,0.9992936253
2036.3908427429,0.9986292986,0.0016889561,0.9992935246
2036.3922316197,0.9982675216,0.0016871029,0.9992934244
2036.3936204966,0.9994789280,0.0016893664,0.9992933250
2036.3950093734,1.0001075848,0.0016880821,0.9992932262
2036.3963982505,1.0021742659,0.0016908798,0.9992931280
2036.3977871273,0.9981391973,0.0016874171,0.9992930305
2036.3991760042,1.0007508106,0.0016887651,0.9992929337
2036.4005648810,1.0018212095,0.0016913517,0.9992928375
2036.4019537579,0.9970658427,0.0016869955,0.9992927419
2036.4033426347,0.9987911624,0.0016880613,0.9992926470
2036.4047315118,0.9975210771,0.0016863013,0.9992925528
2036.4061203886,1.0017275853,0.0016886337,0.9992924592
2036.4075092655,0.9989353708,0.0016872474,0.9992923663
2036.4088981423,1.0008538252,0.0016878862,0.9992922740
2036.4102870192,0.9993711557,0.0016880193,0.9992921824
2036.4116758960,0.9976688654,0.0016888783,0.9992920914
2036.4130647729,1.0025311300,0.0016884673,0.9992920011
2036.4144536497,0.9993557992,0.0016872658,0.9992919114
2036.4158425265,1.0005792457,0.0016876595,0.9992918224
2036.4172314034,1.0009964449,0.0016876254,0.9992917341
2036.4186202805,0.9997004654,0.0016884641,0.9992916464
2036.4200091573,1.0009013042,0.0016879816,0.9992915593
2036.4213980341,0.9967228269,0.0016862309,0.9992914729
2036.4227869110,0.9999465892,0.0016873504,0.9992913872
2036.4241757878,0.9979081218,0.0016877291,0.9992913021
2036.4255646647,1.0005935104,0.0016886945,0.9992912176
2036.4269535415,1.0020402708,0.0016883468,0.9992911339
2036.4283424184,1.0025837376,0.0016877605,0.9992910507
2036.4297312952,0.9995055018,0.0016877900,0.9992909683
2036.4311201721,0.9999324172,0.0016895059,0.9992908864
2036.4325090489,1.0014477097,0.0016894281,0.9992908053
2036.4338979257,0.9999078851,0.0016882584,0.9992907248
2036.4352868026,1.0008895749,0.0016878143,0.9992906449
2036.4366756794,1.0035244989,0.0016907473,0.9992905657
2036.4380645563,0.9994061341,0.0016873436,0.9992904871
2036.4394534331,1.0000615532,0.0016891253,0.9992904092
2036.4408423100,0.9988787118,0.0016868295,0.9992903320
2036.4422311868,1.0011682778,0.0016893501,0.9992902554
