ID,ra,dec,Tmag,e_Tmag,Teff,Teff_source,Teff_imputed,logg,rad,mass,rho,lum,d,ebv,contratio,priority,SpType_est,Tmag_tier,bp_rp,j_k,total_pm,wdflag,lumclass,objType,GAIA,TWOMASS,ALLWISE
327854769,358.25550975695,-87.9159185166254,12.9473,0.006,6367.0,catalog,False,4.33704,1.26595,1.27,0.625964,2.37284923,744.021,0.101452,0.0025750075,0.000387296721,F,12-13,0.7753999999999994,0.2530000000000001,7.952377275519566,0,DWARF,STAR,6.341675691089524e+18,23530119-8754571,J235301.51-875457.2
468157124,310.256366683117,-88.1373679123687,12.9476,0.006,5900.0,catalog,False,4.44171,1.03008,1.07,0.978981,1.15835679,536.309,0.0967759,0.06105918,0.0005077435,G,12-13,0.9088000000000012,0.4269999999999996,34.26743073780116,0,DWARF,STAR,6.341514956233366e+18,20410163-8808145,J204102.12-880814.7
257772320,33.1621517668857,-89.7063765325603,12.9498,0.006,5846.0,catalog,False,4.11969,1.48539,1.06,0.323432,2.32173276,717.078,0.160698,0.0117945746,0.000305740337,G,12-13,1.0089000000000006,0.42300000000000004,5.005061537333981,0,DWARF,STAR,4.611705848293823e+18,02123906-8942230,J021238.50-894223.0
410306699,8.67807572209289,-87.7321846284654,12.9505,0.006,6067.0,catalog,False,4.00458,1.75098,1.13,0.21049,3.742439,932.548,0.124129,0.0115205608,0.000239283559,F,12-13,0.8942000000000014,0.35199999999999854,6.242472066538153,0,DWARF,STAR,4.612909195050776e+18,00344254-8743558,J003442.89-874355.8
362068380,101.830607350074,-89.497671708745,12.9505,0.006,8939.0,catalog,False,3.77668,3.21206,2.25,0.0678938,59.3497467,2858.71,0.135587,0.0128594022,9.685594e-05,A,12-13,0.26640000000000086,0.023999999999999133,7.0206112363668165,0,DWARF,STAR,5.188219102277717e+18,06471836-8929517,J064719.23-892951.5
401833916,350.089731481798,-89.6317542426149,12.954,0.006,6231.0,catalog,False,4.33225,1.23738,1.2,0.633397,2.07935858,683.66,0.133023,0.09788593,0.000392429036,F,12-13,0.8567999999999998,0.37299999999999933,17.18745450101323,0,DWARF,STAR,6.341080168104489e+18,23202174-8937542,J232022.69-893754.3
317328022,59.305331663859,-89.0091339564722,12.9581,0.006,6390.0,catalog,False,4.30676,1.31601,1.28,0.561602,2.60146976,777.626,0.106946,0.06890062,0.000366694119,F,12-13,0.7760000000000016,0.3550000000000004,14.141794400715208,0,DWARF,STAR,4.611755395036356e+18,03571297-8900328,J035712.87-890032.7
257710920,6.15667607556985,-89.1463906866571,12.9586,0.0061,5415.0,catalog,False,3.73258,2.18427,0.94,0.0902005,3.69573832,955.551,0.122494,0.2700867,0.000162285476,G,12-13,1.1020000000000003,0.5679999999999996,16.167207238369897,0,DWARF,STAR,4.61196925004843e+18,00243762-8908470,J002436.40-890847.6
274228194,30.5235849857323,-89.0677367693652,12.96,0.006,5687.0,catalog,False,4.17888,1.35443,1.01,0.406491,1.72878659,661.849,0.101529,0.0156365354,0.00035079,G,12-13,0.9817,0.3800000000000008,13.799337082356528,0,DWARF,STAR,4.611786318801035e+18,02020545-8904039,J020206.07-890403.9
318274065,301.862903602528,-89.6025274697537,12.9604,0.006,5768.0,catalog,False,4.49309,0.952594,1.03,1.19156,0.9049219,473.27,0.110729,0.007675577,0.00058464,G,12-13,0.9678000000000004,0.49900000000000055,13.125597205952193,0,DWARF,STAR,6.34108999498973e+18,20072722-8936090,J200726.53-893608.9
405478762,17.410986519619,-88.9733806776526,12.9611,0.006,5228.0,catalog,False,4.5351,0.843678,0.89,1.48204,0.47906056,359.186,0.0810217,0.0415996835,0.0007065904,G,12-13,1.1186000000000007,0.6150000000000002,14.800579515508845,0,DWARF,STAR,4.611980726201016e+18,01093820-8858242,J010940.76-885824.2
267195087,51.8479359521406,-89.000297675273,12.9616,0.006,5771.0,catalog,False,4.50529,0.939308,1.03,1.24284,0.881687462,474.088,0.0955117,0.006778027,0.000612314558,G,12-13,0.947000000000001,0.40500000000000114,2.9689977552197644,0,DWARF,STAR,4.611801677603923e+18,03272315-8900010,J032723.34-890001.0
401833918,350.069290066259,-89.6456311321651,12.9635,0.006,5436.0,catalog,False,4.39034,1.02974,0.95,0.870042,0.834196,456.163,0.119511,0.0284718554,0.000520007,G,12-13,1.0906000000000002,0.46199999999999974,22.143492809222757,0,DWARF,STAR,6.341079790147371e+18,23201667-8938441,J232018.73-893844.3
401796948,335.323528378528,-87.8282554696274,12.9639,0.006,5221.0,catalog,False,4.52358,0.854949,0.89,1.42419,0.489316523,359.863,0.0917238,2.31489539,0.000495296554,G,12-13,1.1355000000000004,0.5280000000000005,30.139165943668715,0,DWARF,STAR,6.341722523413181e+18,22211753-8749416,J222117.32-874942.0
401795206,334.857412387494,-88.4217229998838,12.9674,0.006,5790.0,catalog,False,4.47718,0.974899,1.04,1.12242,0.9623393,494.139,0.0998437,0.000787753146,0.000558179163,G,12-13,0.9465000000000003,0.3869999999999987,21.515065741651824,0,DWARF,STAR,6.341316116427878e+18,22192607-8825181,J221925.30-882518.1
468192445,323.629823719121,-88.3058662818908,12.968,0.006,5790.0,catalog,False,4.26911,1.23878,1.04,0.547076,1.55381548,627.707,0.100483,0.0643486157,0.000382268772,G,12-13,0.9475999999999996,0.3849999999999998,23.52906801915452,0,DWARF,STAR,6.341312714813718e+18,21343137-8818210,J213431.45-881821.3
405459277,11.6012931100749,-87.5520885605822,12.9693,0.006,5551.0,catalog,False,3.56565,2.70286,0.98,0.0496311,6.249248,1263.7,0.106452,0.0313035771,0.00012298052,G,12-13,1.033100000000001,0.46499999999999986,8.644810952039379,0,DWARF,STAR,4.612915723400838e+18,00462420-8733076,J004624.19-873307.5
410305235,7.74932571527516,-89.0771062944972,12.9694,0.006,5256.0,catalog,False,4.67046,0.72598,0.9,2.35217,0.362381279,312.598,0.0842586,0.0186253078,0.0008796778,G,12-13,1.111699999999999,0.5240000000000009,109.39113823633063,0,DWARF,STAR,4.611972651662522e+18,00310032-8904375,J003104.58-890437.6
405476864,15.2502170240177,-88.6299219302118,12.9694,0.006,6107.0,catalog,False,4.06079,1.65573,1.15,0.253354,3.43547034,923.542,0.0959126,0.00250619929,0.000257510052,F,12-13,0.8452000000000002,0.37899999999999956,1.3711756029757822,0,DWARF,STAR,4.612047555892083e+18,01005969-8837477,J010100.00-883747.7
394780916,28.9664110647186,-89.06095135385,12.9695,0.006,5246.0,catalog,False,4.55055,0.833456,0.9,1.55452,0.473993927,358.046,0.0827345,0.0155783789,0.0007214162,G,12-13,1.1138000000000012,0.47499999999999964,27.90593181100391,0,DWARF,STAR,4.611786559319203e+18,01555169-8903393,J015553.01-890339.3
394820364,34.9674934962312,-89.2742835765191,12.971,0.006,5803.0,catalog,False,4.22793,1.29893,1.04,0.474547,1.72375047,657.639,0.107003,0.073884964,0.000366045075,G,12-13,0.9518999999999984,0.42600000000000016,11.637258874081988,0,DWARF,STAR,4.611768760974747e+18,02195148-8916274,J021952.73-891627.4
323433129,67.8100270920977,-88.7354581651384,12.9724,0.006,5820.294713280504,bp_rp_poly,True,,,,,,554.813,,,,G,12-13,0.9609000000000005,0.4300000000000015,9.974390816987272,0,DWARF,STAR,4.611858061934835e+18,04311478-8844076,J043114.68-884407.5
257728304,350.720043927622,-87.7258546101308,12.9726,0.006,5850.0,catalog,False,4.50108,0.957513,1.06,1.20746,0.9674024,492.999,0.105069,0.00432345644,0.00057373743,G,12-13,0.9350000000000005,0.4800000000000004,28.120370965547377,0,DWARF,STAR,6.341694039189915e+18,23225274-8743330,J232253.16-874333.3
325563600,83.1695566568024,-89.2650706279266,12.9751,0.006,5501.0,catalog,False,4.31715,1.12614,0.96,0.672187,1.04628217,520.939,0.102569,0.08402381,0.000454702327,G,12-13,1.0454000000000008,0.47600000000000087,30.949285053495178,0,DWARF,STAR,4.611733473523372e+18,05324067-8915542,J053241.22-891554.5
468215207,325.480049163443,-89.1278352306442,12.9777,0.006,6016.0,catalog,False,4.10561,1.54486,1.11,0.301061,2.81647,819.148,0.127004,0.09460656,0.000274113379,F,12-13,0.9131999999999998,0.391,10.130237573171717,0,DWARF,STAR,6.341129543048481e+18,21415503-8907401,J214155.78-890740.1
383649638,213.659881255608,-89.5967339808115,12.9784,0.006,6063.0,catalog,False,4.2004,1.39756,1.13,0.413967,2.37786174,765.703,0.106715,0.006377075,0.000325429981,F,12-13,0.8726000000000003,0.3780000000000001,5.860074726886083,0,DWARF,STAR,5.764629277046585e+18,14143941-8935482,J141438.21-893548.1
451569345,272.182021786277,-89.2558260942976,12.9787,0.006,4656.0,catalog,False,4.64314,0.679331,0.74,2.36041,0.195392981,228.034,0.0825641,0.0320995674,0.0009454687,K,12-13,1.3864,0.6620000000000008,18.81145588863605,0,DWARF,STAR,6.341162116080629e+18,18084369-8915207,J180844.60-891521.0
267167051,49.4837834949398,-88.132056764005,12.9836,0.006,5844.0,catalog,False,4.03714,1.62578,1.05,0.244347,2.77751875,838.191,0.107216,0.006020187,0.000268703763,G,12-13,0.9395999999999987,0.4450000000000003,18.24752376762392,0,DWARF,STAR,4.612123731431845e+18,03175601-8807555,J031756.28-880755.2
468181060,315.266635046777,-88.8194959360558,12.9847,0.006,6199.0,catalog,False,4.01351,1.7785,1.19,0.211536,4.208135,995.435,0.125794,0.0165461283,0.000222341347,F,12-13,0.8567999999999998,0.28800000000000026,6.422250983901906,0,DWARF,STAR,6.341200736426635e+18,21010385-8849101,J210104.24-884910.1
406348754,330.309444372496,-88.5582596689643,12.986,0.006,6148.0,catalog,False,4.42499,1.09807,1.17,0.883675,1.55200231,613.731,0.113287,0.0436014459,0.000456599344,F,12-13,0.855500000000001,0.36299999999999955,8.36263699914088,0,DWARF,STAR,6.341293198482321e+18,22011440-8833296,J220113.92-883329.7
410341494,47.5605809322488,-88.3479511363037,12.9903,0.006,5594.0,catalog,False,4.46899,0.960187,0.99,1.11832,0.8133853,463.29,0.0982633,0.024747774,0.000584124762,G,12-13,1.0080999999999989,0.5,18.62876896830276,0,DWARF,STAR,4.612112083480567e+18,03101451-8820526,J031014.86-882052.5
468186666,318.693967559659,-88.19716737786,12.9904,0.006,6167.0,catalog,False,4.27012,1.318,1.18,0.51539,2.26371312,746.46,0.10714,0.06834714,0.000341050938,F,12-13,0.8420000000000005,0.39700000000000024,4.795842472736151,0,DWARF,STAR,6.341504270354664e+18,21144645-8811496,J211446.22-881149.7
405489043,23.9282543193056,-88.3883658657018,12.9919,0.0121,5770.933769578183,bp_rp_poly,True,,,,,,483.318,,,,G,12-13,0.9773999999999994,0.43900000000000006,45.10885222680798,-1,DWARF,STAR,4.612075073745183e+18,01354278-8823181,J013543.22-882317.7
270286042,348.083970040983,-89.3691554134119,12.9925,0.006,5543.0,catalog,False,4.16743,1.35185,0.98,0.396677,1.55429661,625.449,0.12591,0.00491697,0.000339243124,G,12-13,1.0616000000000003,0.5139999999999993,10.885732857947417,0,DWARF,STAR,6.341107827693821e+18,23121950-8922089,J231220.16-892209.0
274035700,44.0405557347547,-88.2878087932597,12.9954,0.006,6552.0,catalog,False,3.82156,2.37149,1.36,0.101971,9.337548,1465.1,0.119208,0.131326526,0.000146900478,F,12-13,0.7448999999999995,0.28600000000000136,19.524332983129025,0,DWARF,STAR,4.612115966130988e+18,02560974-8817161,J025610.02-881715.8
